,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,FIPS
2196,CT,6030,HARTFORD,9003
2201,NV,89024,CLARK,32003
2202,AZ,85358,MARICOPA,4013
2205,NJ,7061,UNION,34039
2206,VA,23168,JAMES CITY,51095
2208,PA,17967,SCHUYLKILL,42107
2209,ME,4429,PENOBSCOT,23019
2211,NC,27503,DURHAM,37063
2214,MA,1516,WORCESTER,25027
2215,ME,4667,WASHINGTON,23029
2216,TN,37236,DAVIDSON,47037
2221,TX,79520,JONES,48253
2222,WA,99031,SPOKANE,53063
2225,NY,13078,ONONDAGA,36067
2226,AZ,85553,GILA,4007
2228,CA,94128,SAN MATEO,6081
2231,PA,19086,DELAWARE,42045
2233,PA,19041,MONTGOMERY,42091
2235,NE,68102,DOUGLAS,31055
2237,DC,20522,DISTRICT OF COLUMBIA,11001
2238,MD,20604,CHARLES,24017
2240,TX,78266,COMAL,48091
2243,IN,47468,MONROE,18105
2245,AZ,85624,SANTA CRUZ,4023
2246,CA,95619,EL DORADO,6017
2247,OH,43910,JEFFERSON,39081
2248,OH,44210,SUMMIT,39153
2250,WI,54824,POLK,55095
2252,PA,16928,TIOGA,42117
2253,MA,1879,MIDDLESEX,25017
2257,NC,28090,CLEVELAND,37109
2261,IL,60551,LA SALLE,17099
2264,FL,33876,HIGHLANDS,12055
2266,OR,97760,JEFFERSON,41031
2267,CA,94964,MARIN,6041
2269,CA,93219,TULARE,6107
2270,OK,73507,COMANCHE,40031
2271,SC,29163,ORANGEBURG,45075
2272,CO,80643,WELD,8123
2273,CO,81062,CROWLEY,8101
2275,WI,53019,FOND DU LAC,55039
2278,IN,46979,HOWARD,18067
2281,NY,11024,NASSAU,36059
2284,PA,18618,LUZERNE,42079
2287,VA,22624,FREDERICK,51171
2291,VA,24092,FRANKLIN,51067
2294,WV,25918,RALEIGH,54081
2296,PA,17238,FULTON,42057
2297,IL,60034,MCHENRY,17111
2298,IA,52324,LINN,19113
2299,NC,27979,GATES,37073
2300,OK,74362,MAYES,40145
2303,FL,33567,HILLSBOROUGH,12057
2308,NY,10540,WESTCHESTER,36119
2309,AL,36849,LEE,1081
